Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Vardas2152          Pavarde2152         5.00                4.00                
Vardas6201          Pavarde6201         5.00                4.00                
Vardas102           Pavarde102          5.00                4.00                
Vardas105           Pavarde105          5.00                3.00                
Vardas9220          Pavarde9220         5.00                5.00                
Vardas9210          Pavarde9210         5.00                5.00                
Vardas7743          Pavarde7743         5.00                6.00                
Vardas4462          Pavarde4462         5.00                5.00                
Vardas228           Pavarde228          5.00                5.00                
Vardas9038          Pavarde9038         5.00                9.00                
Vardas2350          Pavarde2350         5.00                8.00                
Vardas9182          Pavarde9182         5.00                8.00                
Vardas8945          Pavarde8945         5.00                7.00                
Vardas2382          Pavarde2382         5.00                8.00                
Vardas8917          Pavarde8917         5.00                4.00                
Vardas6238          Pavarde6238         5.00                3.00                
Vardas1722          Pavarde1722         5.00                8.00                
Vardas6125          Pavarde6125         5.00                1.00                
Vardas1442          Pavarde1442         5.00                6.00                
Vardas4969          Pavarde4969         5.00                4.00                
Vardas4385          Pavarde4385         5.00                9.00                
Vardas4031          Pavarde4031         5.00                1.00                
Vardas5413          Pavarde5413         5.00                9.00                
Vardas5418          Pavarde5418         5.00                1.00                
Vardas1143          Pavarde1143         5.00                6.00                
Vardas6639          Pavarde6639         5.00                9.00                
Vardas4153          Pavarde4153         5.00                10.00               
Vardas7687          Pavarde7687         5.00                4.00                
Vardas1662          Pavarde1662         5.00                6.00                
Vardas6141          Pavarde6141         5.00                5.00                
Vardas6959          Pavarde6959         5.00                5.00                
Vardas6969          Pavarde6969         5.00                5.00                
Vardas1217          Pavarde1217         5.00                8.00                
Vardas6349          Pavarde6349         5.00                4.00                
Vardas1450          Pavarde1450         5.00                5.00                
Vardas8340          Pavarde8340         5.00                5.00                
Vardas7057          Pavarde7057         5.00                5.00                
Vardas1086          Pavarde1086         5.00                5.00                
Vardas4910          Pavarde4910         5.00                6.00                
Vardas6468          Pavarde6468         5.00                4.00                
Vardas7091          Pavarde7091         5.00                6.00                
Vardas7096          Pavarde7096         5.00                7.00                
Vardas1470          Pavarde1470         5.00                8.00                
Vardas777           Pavarde777          5.00                5.00                
Vardas3468          Pavarde3468         5.00                3.00                
Vardas7120          Pavarde7120         5.00                4.00                
Vardas1558          Pavarde1558         5.00                5.00                
Vardas7413          Pavarde7413         5.00                4.00                
Vardas5593          Pavarde5593         5.00                5.00                
Vardas6275          Pavarde6275         5.00                4.00                
Vardas7387          Pavarde7387         5.00                3.00                
Vardas1512          Pavarde1512         5.00                10.00               
Vardas7333          Pavarde7333         5.00                4.00                
Vardas7327          Pavarde7327         5.00                8.00                
Vardas4887          Pavarde4887         5.00                6.00                
Vardas1410          Pavarde1410         5.00                5.00                
Vardas8529          Pavarde8529         5.00                6.00                
Vardas1919          Pavarde1919         5.00                3.00                
Vardas1941          Pavarde1941         5.00                6.00                
Vardas5126          Pavarde5126         5.00                5.00                
Vardas569           Pavarde569          5.00                5.00                
Vardas2642          Pavarde2642         5.00                10.00               
Vardas8601          Pavarde8601         5.00                6.00                
Vardas9621          Pavarde9621         5.00                5.00                
Vardas9613          Pavarde9613         5.00                4.00                
Vardas536           Pavarde536          5.00                5.00                
Vardas4517          Pavarde4517         5.00                3.00                
Vardas9519          Pavarde9519         5.00                3.00                
Vardas2078          Pavarde2078         5.00                5.00                
Vardas2091          Pavarde2091         5.00                5.00                
Vardas2124          Pavarde2124         5.00                3.00                
Vardas6718          Pavarde6718         5.00                4.00                
Vardas9769          Pavarde9769         5.04                8.00                
Vardas7036          Pavarde7036         5.04                4.00                
Vardas1745          Pavarde1745         5.04                3.00                
Vardas7624          Pavarde7624         5.04                9.00                
Vardas2090          Pavarde2090         5.04                8.00                
Vardas3311          Pavarde3311         5.04                3.00                
