Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Vardas408           Pavarde408          5.00                6.00                
Vardas974           Pavarde974          5.00                5.00                
Vardas556           Pavarde556          5.00                4.00                
Vardas546           Pavarde546          5.00                8.00                
Vardas963           Pavarde963          5.00                5.00                
Vardas731           Pavarde731          5.00                7.00                
Vardas641           Pavarde641          5.00                5.00                
Vardas37            Pavarde37           5.00                7.00                
Vardas749           Pavarde749          5.00                8.00                
Vardas418           Pavarde418          5.00                6.00                
Vardas460           Pavarde460          5.00                5.00                
Vardas347           Pavarde347          5.00                5.00                
Vardas200           Pavarde200          5.04                7.00                
Vardas187           Pavarde187          5.04                9.00                
Vardas664           Pavarde664          5.04                3.00                
Vardas297           Pavarde297          5.08                5.00                
Vardas207           Pavarde207          5.08                6.00                
Vardas103           Pavarde103          5.08                5.00                
Vardas785           Pavarde785          5.08                6.00                
Vardas742           Pavarde742          5.08                7.00                
Vardas367           Pavarde367          5.08                3.00                
Vardas326           Pavarde326          5.08                5.00                
Vardas88            Pavarde88           5.08                5.00                
Vardas327           Pavarde327          5.08                4.00                
Vardas584           Pavarde584          5.08                2.00                
Vardas486           Pavarde486          5.12                8.00                
Vardas566           Pavarde566          5.12                3.00                
Vardas498           Pavarde498          5.12                4.00                
Vardas78            Pavarde78           5.12                7.00                
Vardas981           Pavarde981          5.12                8.00                
Vardas943           Pavarde943          5.12                2.00                
Vardas577           Pavarde577          5.16                2.00                
Vardas280           Pavarde280          5.16                3.00                
Vardas3             Pavarde3            5.16                3.00                
Vardas965           Pavarde965          5.16                4.00                
Vardas766           Pavarde766          5.16                5.00                
Vardas342           Pavarde342          5.16                4.00                
Vardas283           Pavarde283          5.16                6.00                
Vardas895           Pavarde895          5.16                5.00                
Vardas423           Pavarde423          5.20                9.00                
Vardas939           Pavarde939          5.20                9.00                
Vardas831           Pavarde831          5.20                4.00                
Vardas987           Pavarde987          5.20                3.00                
Vardas363           Pavarde363          5.24                7.00                
Vardas112           Pavarde112          5.24                9.00                
Vardas897           Pavarde897          5.24                5.00                
Vardas558           Pavarde558          5.28                7.00                
Vardas451           Pavarde451          5.28                10.00               
Vardas610           Pavarde610          5.28                4.00                
Vardas798           Pavarde798          5.32                6.00                
Vardas219           Pavarde219          5.32                5.00                
Vardas499           Pavarde499          5.32                6.00                
Vardas683           Pavarde683          5.32                7.00                
Vardas30            Pavarde30           5.32                7.00                
Vardas470           Pavarde470          5.32                8.00                
Vardas772           Pavarde772          5.32                8.00                
Vardas56            Pavarde56           5.32                7.00                
Vardas362           Pavarde362          5.32                6.00                
Vardas359           Pavarde359          5.32                7.00                
Vardas746           Pavarde746          5.32                6.00                
Vardas517           Pavarde517          5.32                5.00                
Vardas131           Pavarde131          5.32                5.00                
Vardas453           Pavarde453          5.32                7.00                
Vardas16            Pavarde16           5.36                4.00                
Vardas426           Pavarde426          5.36                2.00                
Vardas387           Pavarde387          5.36                5.00                
Vardas277           Pavarde277          5.36                4.00                
Vardas232           Pavarde232          5.36                8.00                
Vardas349           Pavarde349          5.36                9.00                
Vardas465           Pavarde465          5.36                8.00                
Vardas947           Pavarde947          5.40                5.00                
Vardas437           Pavarde437          5.44                5.00                
Vardas673           Pavarde673          5.44                5.00                
Vardas231           Pavarde231          5.44                5.00                
Vardas44            Pavarde44           5.44                4.00                
Vardas777           Pavarde777          5.44                5.00                
Vardas800           Pavarde800          5.44                5.00                
Vardas427           Pavarde427          5.44                5.00                
Vardas703           Pavarde703          5.48                8.00                
Vardas93            Pavarde93           5.48                8.00                
Vardas757           Pavarde757          5.48                7.00                
Vardas480           Pavarde480          5.48                9.00                
Vardas25            Pavarde25           5.48                1.00                
Vardas450           Pavarde450          5.52                9.00                
Vardas843           Pavarde843          5.52                9.00                
Vardas519           Pavarde519          5.52                4.00                
Vardas804           Pavarde804          5.52                4.00                
Vardas709           Pavarde709          5.52                4.00                
Vardas269           Pavarde269          5.52                4.00                
Vardas357           Pavarde357          5.52                6.00                
Vardas886           Pavarde886          5.52                5.00                
Vardas695           Pavarde695          5.56                2.00                
Vardas325           Pavarde325          5.56                3.00                
Vardas710           Pavarde710          5.56                7.00                
Vardas227           Pavarde227          5.56                8.00                
Vardas555           Pavarde555          5.56                4.00                
