Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Vardas230           Pavarde230          1.56                2.00                
Vardas52            Pavarde52           1.64                3.00                
Vardas55            Pavarde55           1.72                2.00                
Vardas345           Pavarde345          1.88                3.00                
Vardas944           Pavarde944          1.96                3.00                
Vardas871           Pavarde871          2.00                1.00                
Vardas823           Pavarde823          2.12                4.00                
Vardas106           Pavarde106          2.12                3.00                
Vardas382           Pavarde382          2.20                4.00                
Vardas461           Pavarde461          2.20                5.00                
Vardas474           Pavarde474          2.20                5.00                
Vardas4             Pavarde4            2.24                3.00                
Vardas94            Pavarde94           2.28                4.00                
Vardas611           Pavarde611          2.28                2.00                
Vardas579           Pavarde579          2.28                5.00                
Vardas133           Pavarde133          2.28                4.00                
Vardas656           Pavarde656          2.28                3.00                
Vardas251           Pavarde251          2.32                2.00                
Vardas379           Pavarde379          2.32                2.00                
Vardas581           Pavarde581          2.32                3.00                
Vardas511           Pavarde511          2.36                5.00                
Vardas468           Pavarde468          2.36                4.00                
Vardas40            Pavarde40           2.36                3.00                
Vardas167           Pavarde167          2.40                2.00                
Vardas747           Pavarde747          2.40                4.00                
Vardas923           Pavarde923          2.44                5.00                
Vardas711           Pavarde711          2.44                4.00                
Vardas583           Pavarde583          2.44                5.00                
Vardas226           Pavarde226          2.44                3.00                
Vardas193           Pavarde193          2.44                4.00                
Vardas308           Pavarde308          2.44                5.00                
Vardas522           Pavarde522          2.44                4.00                
Vardas350           Pavarde350          2.44                4.00                
Vardas781           Pavarde781          2.48                2.00                
Vardas649           Pavarde649          2.52                4.00                
Vardas783           Pavarde783          2.52                4.00                
Vardas621           Pavarde621          2.52                4.00                
Vardas539           Pavarde539          2.52                5.00                
Vardas526           Pavarde526          2.52                5.00                
Vardas662           Pavarde662          2.52                2.00                
Vardas945           Pavarde945          2.56                2.00                
Vardas704           Pavarde704          2.56                3.00                
Vardas589           Pavarde589          2.56                3.00                
Vardas224           Pavarde224          2.56                3.00                
Vardas788           Pavarde788          2.60                4.00                
Vardas142           Pavarde142          2.60                6.00                
Vardas132           Pavarde132          2.60                6.00                
Vardas475           Pavarde475          2.60                5.00                
Vardas867           Pavarde867          2.60                5.00                
Vardas598           Pavarde598          2.60                5.00                
Vardas743           Pavarde743          2.60                5.00                
Vardas765           Pavarde765          2.60                5.00                
Vardas276           Pavarde276          2.68                5.00                
Vardas497           Pavarde497          2.68                3.00                
Vardas549           Pavarde549          2.68                5.00                
Vardas38            Pavarde38           2.68                5.00                
Vardas267           Pavarde267          2.68                6.00                
Vardas879           Pavarde879          2.68                2.00                
Vardas810           Pavarde810          2.72                2.00                
Vardas204           Pavarde204          2.72                4.00                
Vardas869           Pavarde869          2.72                2.00                
Vardas674           Pavarde674          2.72                3.00                
Vardas732           Pavarde732          2.72                3.00                
Vardas637           Pavarde637          2.76                6.00                
Vardas518           Pavarde518          2.76                6.00                
Vardas525           Pavarde525          2.76                6.00                
Vardas73            Pavarde73           2.76                7.00                
Vardas567           Pavarde567          2.80                3.00                
Vardas996           Pavarde996          2.80                3.00                
Vardas383           Pavarde383          2.80                3.00                
